Deporte,Google Fit,Fitbit,Apple Health,Samsung Health,Garmin,Huawei,Xiaomi
Aerobics,9,--,--,9007,--,--,--
Alpine Skiing,--,--,downhillSkiing,--,ALPINE_SKIING,--,--
American Football,27,--,americanFootball,4006,AMERICAN_FOOTBALL,--,--
Archery,119,--,archery,9051,--,--,--
ATV,--,--,--,--,ATV,--,--
Australian Football,28,--,australianFootball,--,--,--,--
Backcountry Skiing,--,--,crossCountrySkiing,--,BACKCOUNTRY_SKIING,--,--
Badminton,10,--,badminton,6003,BADMINTON,--,--
Barre,--,--,barre,--,--,--,--
Baseball,11,2001,baseball,2001,BASEBALL,--,--
Basketball,12,--,basketball,4003,BASKETBALL,--,--
Beach Volleyball,--,--,volleyball,5002,--,--,--
Biathlon,13,--,--,--,--,--,--
Bike Commuting,--,--,cycling,--,BIKE_COMMUTING,--,--
Biking,1,--,cycling,7001,cycling,3,--
Billiards,--,--,--,3002,BILLIARDS,--,--
BMX,--,--,cycling,--,bmx,--,--
Boating,--,--,sailing,--,BOATING,--,--
Bocce Ball,--,--,--,--,BOCCE_BALL,--,--
Bouldering,--,--,climbing,9045,--,--,--
Bowling,--,--,bowling,3003,BOWLING,--,--
Boxing,20,--,boxing,9055,--,--,--
Breathing Exercise,--,--,--,--,--,--,--
Bungee Jumping,--,--,--,9050,--,--,--
Burpees,--,--,functionalStrengthTraining,9021,--,--,--
Calisthenics,21,--,functionalStrengthTraining,--,--,--,--
Canoeing,--,--,paddleSports,9037,CANOEING,--,--
Cardio,--,--,--,--,CARDIO,--,--
Cardio Dance,--,--,cardioDance,--,--,--,--
Chin-ups,--,--,functionalStrengthTraining,9025,--,--,--
Circuit Training,22,--,traditionalStrengthTraining,9014,--,--,--
Core Training,--,--,coreTraining,9015,--,--,--
Cricket,23,2003,cricket,2003,CRICKET,--,--
Cross Country Skiing,--,--,crossCountrySkiing,--,CROSS_COUNTRY_SKIING,--,--
CrossFit,113,--,crossTraining,--,--,--,--
Cross Training,--,--,crossTraining,--,--,--,--
Curling,106,--,curling,--,CURLING,--,--
Cycling (General),1,90013,cycling,7001,cycling,3,--
Cycling (Indoor),18,--,cycling,7002,INDOOR_CYCLING,5,--
Cycling (Mountain),15,--,cycling,7003,MOUNTAIN_BIKING,--,--
Cycling (Road),16,--,cycling,7004,ROAD_CYCLING,--,--
Cycling (Stationary),18,--,cycling,7002,INDOOR_CYCLING,5,--
Cyclocross,--,--,cycling,--,cyclocross,--,--
Dance,24,--,dance,9011,--,--,--
Darts,--,--,--,--,DARTS,--,--
Dips,--,--,functionalStrengthTraining,9026,--,--,--
Dirt Biking,--,--,--,--,DIRT_BIKING,--,--
Disc Golf,--,--,discSports,--,DISC_GOLF,--,--
Diving,102,--,diving,9039,DIVING,--,--
Downhill Biking,--,--,cycling,--,downhill_biking,--,--
Downhill Skiing,--,--,downhillSkiing,--,--,--,--
Driving,--,--,--,--,DRIVING,--,--
E-Biking,--,--,cycling,--,EBIKING,--,--
E-Mountain Biking,--,--,cycling,--,EMOUNTAINBIKING,--,--
Elevator,117,--,--,--,--,--,--
Elliptical,25,--,elliptical,9003,ELLIPTICAL,--,--
Equestrian Sports,--,--,equestrianSports,9029,HORSEBACK_RIDING,--,--
Ergometer,103,--,rowing,9006,--,--,--
Escalator,118,--,--,--,--,--,--
Exercise (Generic),--,--,other,--,EXERCISE,--,--
Fencing,26,--,fencing,9052,--,--,--
Field Hockey,--,--,hockey,--,FIELD_HOCKEY,--,--
Fishing,--,--,fishing,--,FISHING,--,--
Fitness Gaming,--,--,--,--,--,--,--
Flexibility,--,--,flexibility,--,--,--,--
Flying,--,--,--,--,FLYING,--,--
Football (American),27,--,americanFootball,4006,AMERICAN_FOOTBALL,--,--
Football (Australian),28,--,australianFootball,--,--,--,--
Football (Soccer),29,90013,soccer,4004,SOCCER,--,--
Frisbee,30,--,discSports,--,ULTIMATE_FRISBEE,--,--
Functional Strength Training,--,--,functionalStrengthTraining,--,--,--,--
Gardening,31,--,--,--,--,--,--
Golf,32,3001,golf,3001,GOLF,--,--
Golf Cart,--,--,golf,9060,--,--,--
Gravel Cycling,--,--,cycling,--,gravel_unpaved_cycling,--,--
Guided Breathing,122,--,--,--,--,--,--
Gym Workout,--,--,functionalStrengthTraining,9016,--,--,--
Gymnastics,33,--,gymnastics,9053,--,--,--
Hand Cycling,--,--,cycling,--,HANDCYCLING,--,--
Handball,34,--,handball,4005,--,--,--
Handbiking,14,--,cycling,--,HANDCYCLING,--,--
HIIT,114,--,highIntensityIntervalTraining,--,HIGH_INTENSITY_INTERVAL_TRAINING,--,--
Hiking,35,--,hiking,9001,HIKING,--,1
Hockey,36,4001,hockey,4001,HOCKEY,--,--
Horse Riding,37,--,equestrianSports,9029,HORSEBACK_RIDING,--,--
Housework,38,--,--,--,--,--,--
Hula Hooping,--,--,--,9059,--,--,--
Hunting,--,--,hunting,--,HUNTING,--,--
Ice Hockey,--,--,hockey,--,ICE_HOCKEY,--,--
