Campo,Google Fit,Health Connect,Fitbit,Apple Health,Huawei Health Web,Huawei Health App,Samsung Health Web,Samsung Health App,Wellnessfy
logId,id,metadata.id,logId,uuid,summaryId,getActivityId(),data_uuid,getUuid(),
activityId,activityType (int),activityType (int),activityId (int),HKWorkoutActivityType,type (int),getSportType(),exercise_type (int),getExerciseType(),
activityName,name,title,activityName,HKWorkoutActivityType (Name),N/A (Mapped),N/A (Mapped),exercise_type (Mapped),N/A (Mapped),
activityTypeId,45,45,4000,meditation,N/A,N/A,N/A,N/A,
startTime,startTimeMillis,startTime,startTime,startDate,startTime,getStartTime(),start_time,getStartTime(),
duration,durationMillis,endTime - startTime,duration (ms),duration,duration,getDuration(),duration,getDuration(),
calories,calories (kcal),energy.total,calories,activeEnergyBurned,calorie,getCaloriesTotal(),calorie,getCalorie(),
distance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
steps,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
averageHeartRate,heart_rate.bpm (avg),heartRate.average,averageHeartRate,heartRate (avg),avgHeartRate,getAvgHeartRate(),mean_heart_rate,getMeanHeartRate(),
heartRateZones,heart_rate.bpm (distribution),heartRate (series),heartRateZones,N/A,heartRate (array),N/A,heart_rate (series),N/A,
activeDuration,active_time_millis,activeTime,activeDuration,duration,activeTime,getActiveTime(),active_time,getActiveTime(),
elevationGain,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
speed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
logType,activityDataSource,metadata.recordingMethod,logType,metadata.source,appId,getAppId(),deviceuuid,getSourcePackageName(),
